Number of Elements, Execution Time (ms)
100,0.0607
1000,0.003
10000,0.0578
100000,0.2742
1000000,2.9124
10000000,25.8715
100000000,334.499
100,0.0511
1000,0.0033
10000,0.0311
100000,0.2955
1000000,2.6793
10000000,24.7313
100000000,364.8745
100,0.054
1000,0.0026
10000,0.0257
100000,0.2556
1000000,2.4445
10000000,26.8616
100000000,392.0204
100,0.0425
1000,0.0075
10000,0.0264
100000,0.2575
1000000,2.4827
10000000,32.74
100000000,400.6613
